data,type,operator,death,link
10-DEC-1944,Douglas C-47A (DC-3),USAAF,4,/database/record.php?id=19441210-1
05-DEC-1944,Douglas C-47A (DC-3),USAAF,4,/database/record.php?id=19441205-5
13-NOV-1944,Consolidated C-87,USAAF,4,/database/record.php?id=19441113-0
20-OCT-1944,Douglas C-47A (DC-3),USAAF,3,/database/record.php?id=19441020-5
07-OCT-1944,Douglas C-47 (DC-3),USAAF,3,/database/record.php?id=19441007-0
19-SEP-1944,Douglas C-47A (DC-3),USAAF,4,/database/record.php?id=19440919-3
19-SEP-1944,Douglas C-47A (DC-3),USAAF,3,/database/record.php?id=19440919-2
31-AUG-1944,Douglas C-47A (DC-3),CNAC,2,/database/record.php?id=19440831-1
23-AUG-1944,Douglas C-47A (DC-3),USAAF,11,/database/record.php?id=19440823-0
01-AUG-1944,Douglas C-47 (DC-3),CNAC,3,/database/record.php?id=19440801-1
29-JUN-1944,Curtiss C-46A,USAAF,4,/database/record.php?id=19440629-0
21-JUN-1944,Curtiss C-46A,USAAF,4,/database/record.php?id=19440621-0
18-JUN-1944,Douglas C-47 (DC-3),CNAC,1,/database/record.php?id=19440618-0
26-MAY-1944,Douglas C-47A (DC-3),CNAC,12,/database/record.php?id=19440526-0
08-MAY-1944,Douglas C-47 (DC-3),USAAF,7,/database/record.php?id=19440508-2
27-MAR-1944,Curtiss C-46A,USAAF,4,/database/record.php?id=19440327-3
18-MAR-1944,Consolidated C-87,USAAF,7,/database/record.php?id=19440318-3
20-FEB-1944,Douglas C-47A (DC-3),CNAC,2,/database/record.php?id=19440220-0
31-JAN-1944,Consolidated C-87,USAAF,5,/database/record.php?id=19440131-5
25-JAN-1944,Consolidated C-87,USAAF,3,/database/record.php?id=19440125-0
20-DEC-1943,Curtiss C-46A,USAAF,4,/database/record.php?id=19431220-2
18-DEC-1943,Douglas C-47A (DC-3),CNAC,3,/database/record.php?id=19431218-0
26-NOV-1943,Consolidated C-87,USAAF,2,/database/record.php?id=19431126-4
19-NOV-1943,Douglas C-47 (DC-3),CNAC,3,/database/record.php?id=19431119-2
19-NOV-1943,Douglas C-53 (DC-3),CNAC,2,/database/record.php?id=19431119-1
29-OCT-1943,Curtiss C-46,USAAF,1,/database/record.php?id=19431029-8
03-OCT-1943,Curtiss C-46A,USAAF,6,/database/record.php?id=19431003-0
08-SEP-1943,Curtiss C-46A,USAAF,4,/database/record.php?id=19430908-1
02-AUG-1943,Douglas C-47 (DC-3),USAAF,3,/database/record.php?id=19430802-3
23-JUN-1943,Curtiss C-46A,USAAF,1,/database/record.php?id=19430623-0
09-JUN-1943,Douglas DC-3-196A,Hamiata,32,/database/record.php?id=19430609-4
07-MAY-1943,Consolidated C-87,USAAF,4,/database/record.php?id=19430507-3
11-MAR-1943,Douglas C-53-DO (DC-3),CNAC,3,/database/record.php?id=19430311-0
17-NOV-1942,Douglas C-47 (DC-3),CNAC,3,/database/record.php?id=19421117-0
14-MAR-1942,Douglas DC-2-221,CNAC,13,/database/record.php?id=19420314-1
12-FEB-1941,Douglas DC-2-192,CNAC,3,/database/record.php?id=19410212-0
20-JAN-1941,Ford 5-AT-D Tri-Motor,CNAC,5,/database/record.php?id=19410120-0
29-OCT-1940,Douglas DC-2-221,CNAC,9,/database/record.php?id=19401029-0
12-MAR-1939,Junkers Ju-52/3mge,Eurasia,4,/database/record.php?id=19390312-0
24-AUG-1938,Douglas DC-2-221,CNAC,14,/database/record.php?id=19380824-0
08-AUG-1937,Sikorsky S-43W,CNAC,3,/database/record.php?id=19370808-0
31-MAR-1922,Handley Page O/7,Chinese Government,14,/database/record.php?id=19220331-0
