status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,link,total_airframe_hrs,cycles,ground_casualties,crash_site_elevation,collision_casualties,location_n,lat,lng,fatilities,nothing,occupants
Final,1997-05-08,21:28,Boeing 737-31B,China Southern Airlines,B-2925,27288/2577,1994-01-28  (3 years 3 months),2 CFMI CFM56-3B1,Fatalities: 2 / Occupants: 9,Fatalities: 33 / Occupants: 65, 35 /  74, Destroyed, Written off (damaged beyond repair),"Shenzhen Airport (SZX) (   China) 
", Landing (LDG),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Shenzhen-Huangtian Airport (SZX/ZGSZ), China",3456,https://aviation-safety.net/database/record.php?id=19970508-0,,,,,,Shenzhen Airport (SZX) ,22.55651,114.11912,35,/,74
Final,1996-06-21,17:04,Harbin Yunshuji Y-12 II,China Flying Dragon Aviation,B-3822,1,1991,2 Pratt & Whitney Canada PT6A-27,Fatalities: 1 / Occupants: 3,Fatalities: 1 / Occupants: 9, 2 /  12, Damaged beyond repair,,"near Changhai Airport (CNI) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Dalian Airport (DLC/ZYTL), China","Changhai Airport (CNI/ZYCH), China",,https://aviation-safety.net/database/record.php?id=19960621-0,,,,,, Changhai Airport (CNI) ,39.24719,122.67806,2,/,12
,1994-06-06,08:22,Tupolev Tu-154M,China Northwest Airlines,B-2610,86A740,1986,3 Soloviev D-30KU-154-II,Fatalities: 14 / Occupants: 14,Fatalities: 146 / Occupants: 146, 160 /  160, Destroyed, Written off (damaged beyond repair),29 km (18.1 mls) SE of Xian-Xianyang International Airport (XIY) (   China), En route (ENR),Domestic Scheduled Passenger,"Xian-Xianyang International Airport (XIY/ZLXY), China","Guangzhou-Baiyun Airport (CAN/ZGGG), China",WH2303,https://aviation-safety.net/database/record.php?id=19940606-1,12507.0,6651.0,,,,29 km (18.1 mls) SE of Xian-Xianyang International Airport (XIY) ,34.437111,108.757329,160,/,160
,1993-11-13,14:56,McDonnell Douglas DC-9-82 (MD-82),China Northern Airlines,B-2141,49849/1772,1991,2 Pratt & Whitney JT8D-217A,Fatalities: 4 / Occupants: 10,Fatalities: 8 / Occupants: 92, 12 /  102, Damaged beyond repair,,"near Urumqi Airport (URC) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Beijing-Capital International Airport (PEK/ZBAA), China","Urumqi Airport (URC/ZWWW), China",6901,https://aviation-safety.net/database/record.php?id=19931113-0,,,,,, Urumqi Airport (URC) ,43.98052,87.474167,12,/,102
,1993-10-26,13:04,McDonnell Douglas DC-9-82 (MD-82),China Eastern Airlines,B-2103,49355/1224,1985,2 Pratt & Whitney JT8D-217A,Fatalities: 0 / Occupants: 9,Fatalities: 2 / Occupants: 71, 2 /  80, Damaged beyond repair,,"Fuzhou Yixu Airport (FOC) (   China) 
", Landing (LDG),Domestic Scheduled Passenger,"Shenzhen-Huangtian Airport (SZX/ZGSZ), China","Fuzhou Yixu Airport (FOC/ZSFZ), China",MU5398,https://aviation-safety.net/database/record.php?id=19931026-1,,,,,,Fuzhou Yixu Airport (FOC) ,25.99961,119.33092,2,/,80
,1989-04-24,,Xian Yunshuji Y-7,China Eastern Airlines, registration unknown, , ,,Fatalities: 0 / Occupants:,Fatalities: 1 / Occupants:, 1 / , Unknown,,"Fuzhou Yixu Airport (FOC) (   China) 
", Standing (STD),Domestic Scheduled Passenger,"Ningbo Airport (NGB/ZSNB), China","Xiamen Airport (XMN/ZSAM), China",,https://aviation-safety.net/database/record.php?id=19890424-0,,,,,,Fuzhou Yixu Airport (FOC) ,25.99961,119.33092,1,/,
,1993-07-23,15:40,British Aerospace BAe-146-300,China Northwest Airlines,B-2716,E3215,1992-12-05  (8 months),4 Lycoming LF507-1H,Fatalities: 1 / Occupants: 5,Fatalities: 55 / Occupants: 108, 56 /  113, Damaged beyond repair,,"Yinchuan Airport (INC) (   China) 
", Takeoff (TOF),Domestic Scheduled Passenger,"Yinchuan Airport (JIC/ZLIC), China","Beijing-Capital International Airport (PEK/ZBAA), China",2119,https://aviation-safety.net/database/record.php?id=19930723-0,,,,,,Yinchuan Airport (INC) ,38.322626,106.388584,56,/,113
,1992-11-24,07:52,Boeing 737-3Y0,China Southern Airlines,B-2523,24913/2052,1991-05-10  (1 year 7 months),2 CFMI CFM56-3B1,Fatalities: 10 / Occupants: 10,Fatalities: 131 / Occupants: 131, 141 /  141, Destroyed, Written off (damaged beyond repair),20 km (12.5 mls) S of Guilin Airport (KWL) (   China), Approach (APR),Domestic Non Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Guilin-Qifengling Airport (KWL/ZGKL), China",CZ3943,https://aviation-safety.net/database/record.php?id=19921124-0,4165.0,3153.0,,,,20 km (12.5 mls) S of Guilin Airport (KWL) ,25.27361,110.29002,141,/,141
,1992-10-08,15:31,Avia 14,Wuhan Airlines,B-4211,108807113,1958,,Fatalities: 5 / Occupants: 7,Fatalities: 9 / Occupants: 28, 14 /  35, Damaged beyond repair,,"near Dingxi (   China) 
", En route (ENR),Domestic Non Scheduled Passenger,"Lanzhou Airport (LHW/ZLLL), China","Xian-Xianyang International Airport (XIY/ZLXY), China",,https://aviation-safety.net/database/record.php?id=19921008-0,,,,,, Dingxi ,35.12685,104.62559,14,/,35
,1992-07-31,15:12,Yakovlev Yak-42D,China General Aviation Corp.,B-2755,4520422116644,1991,3 Lotarev D-36,Fatalities: 9 / Occupants: 10,Fatalities: 98 / Occupants: 116, 107 /  126, Destroyed, Written off (damaged beyond repair),"Nanking Airport (NKG) (   China) 
", Takeoff (TOF),Domestic Scheduled Passenger,"Nanjing Dajiaochang Airport (NKG/ZSNJ), China","Xiamen Airport (XMN/ZSAM), China",GP7552,https://aviation-safety.net/database/record.php?id=19920731-1,,,,15 m (49 feet) amsl,,Nanking Airport (NKG) ,32.05789,118.79843,107,/,126
,1990-10-02,09:04,Boeing 757-21B,China Southern Airlines,B-2812,24758/282,1990-04-26  (5 months),2 Rolls-Royce RB211-535E4,Fatalities: 0 / Occupants: 12,Fatalities: 46 / Occupants: 110, 46 /  122, Damaged beyond repair,,"Guangzhou-Baiyun Airport (CAN) (   China) 
", Standing (STD),Domestic Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Shanghai-Hongqiao Airport (SHA/ZSSS), China",,https://aviation-safety.net/database/record.php?id=19901002-4,,,,,Fatalities: 82,Guangzhou-Baiyun Airport (CAN) ,23.395908,113.30797,46,/,122
,1990-10-02,09:04,Boeing 737-247,Xiamen Airlines,B-2510,23189/1072,1984-12-07  (5 years 10 months),2 Pratt & Whitney JT8D-17A,Fatalities: 7 / Occupants: 9,Fatalities: 75 / Occupants: 93, 82 /  102, Destroyed, Written off (damaged beyond repair),"Guangzhou-Baiyun Airport (CAN) (   China) 
", Landing (LDG),Domestic Scheduled Passenger,"Xiamen Airport (XMN/ZSAM), China","Guangzhou-Baiyun Airport (CAN/ZGGG), China",MF8301,https://aviation-safety.net/database/record.php?id=19901002-3,,,,,Fatalities: 46,Guangzhou-Baiyun Airport (CAN) ,23.395908,113.30797,82,/,102
,1982-12-24,17:10,Ilyushin Il-18B,CAAC,B-202,189001401,1959,,Fatalities: 0 / Occupants: 11,Fatalities: 25 / Occupants: 58, 25 /  69, Damaged beyond repair,,"Guangzhou-Baiyun Airport (CAN) (   China) 
", Landing (LDG),Domestic Scheduled Passenger,"Changsha-Huanghua Airport (CSX/ZGHA), China","Guangzhou-Baiyun Airport (CAN/ZGGG), China",2311,https://aviation-safety.net/database/record.php?id=19821224-0,,,,,,Guangzhou-Baiyun Airport (CAN) ,23.395908,113.30797,25,/,69
,1989-08-15,,Antonov An-24RV,China Eastern Airlines,B-3417,37309006,1973,2 Ivchenko AI-24VT,Fatalities: 6 / Occupants: 6,Fatalities: 28 / Occupants: 34, 34 /  40, Damaged beyond repair,,"0,24 km (0.2 mls) from  Shanghai-Hongqiao Airport (SHA) (   China)", Takeoff (TOF),Domestic Scheduled Passenger,"Shanghai-Hongqiao Airport (SHA/ZSSS), China","Nanchang Xiangtang Airport (KHN), China",,https://aviation-safety.net/database/record.php?id=19890815-1,,,,,,"0,24 km (0.2 mls) from  Shanghai-Hongqiao Airport (SHA) ",31.192209,121.334297,34,/,40
