status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,asn_home,fsf_home,join_fsf,contact_us,press_/_media,link,on_behalf_of,total_airframe_hrs,cycles,,investigating agency,status,duration,accident_number,download_report,ground_casualties,operating_for,leased_from,crash_site_elevation,collision_casualties
Final,Wednesday 24 February 1999,16:34,Tupolev Tu-154M,China Southwest Airlines, B-2622, 90A846, 1990, 3 Soloviev D-30KU-154-II,Fatalities: 11 / Occupants: 11,Fatalities: 50 / Occupants: 50,Fatalities: 61 / Occupants: 61 , Destroyed, Written off (damaged beyond repair),"Ruian (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Chengdu Airport (CTU/ZUUU), China","Wenzhou Yongqiang Airport (WNZ/ZSWZ), China",4509,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19990224-0,,14135,7748,,,,,,,,,,,
,Monday 22 December 1997,,Airbus A300?,China Eastern Airlines, registration unknown, , ,,Fatalities: 0 / Occupants: ,Fatalities: 1 / Occupants: ,Fatalities: 1 / Occupants:  , None,,"Xiamen Airport (XMN) (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Shanghai-Hongqiao Airport (SHA/ZSSS), China","Xiamen Airport (XMN/ZSAM), China",MU5915,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19971222-2,,,,,,,,,,,,,,
Final,Thursday 8 May 1997,21:28,Boeing 737-31B,China Southern Airlines, B-2925, 27288/2577, 1994-01-28  (3 years 3 months), 2 CFMI CFM56-3B1,Fatalities: 2 / Occupants: 9,Fatalities: 33 / Occupants: 65,Fatalities: 35 / Occupants: 74 , Destroyed, Written off (damaged beyond repair),"Shenzhen Airport (SZX) (   China) 
", Landing (LDG),Domestic Scheduled Passenger,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Shenzhen-Huangtian Airport (SZX/ZGSZ), China",3456,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19970508-0,,,,,,,,,,,,,,
Final,Friday 21 June 1996,17:04,Harbin Yunshuji Y-12 II,China Flying Dragon Aviation, B-3822, 0001, 1991, 2 Pratt & Whitney Canada PT6A-27,Fatalities: 1 / Occupants: 3,Fatalities: 1 / Occupants: 9,Fatalities: 2 / Occupants: 12 , Damaged beyond repair,,"near Changhai Airport (CNI) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Dalian Airport (DLC/ZYTL), China","Changhai Airport (CNI/ZYCH), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19960621-0,,,,,,,,,,,,,,
,Monday 6 June 1994,08:22,Tupolev Tu-154M,China Northwest Airlines, B-2610, 86A740, 1986, 3 Soloviev D-30KU-154-II,Fatalities: 14 / Occupants: 14,Fatalities: 146 / Occupants: 146,Fatalities: 160 / Occupants: 160 , Destroyed, Written off (damaged beyond repair),"29 km (18.1 mls) SE of Xian-Xianyang International Airport (XIY) (   China) 
", En route (ENR),Domestic Scheduled Passenger,"Xian-Xianyang International Airport (XIY/ZLXY), China","Guangzhou-Baiyun Airport (CAN/ZGGG), China",WH2303,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19940606-1,,12507,6651,,,,,,,,,,,
,Saturday 13 November 1993,14:56,McDonnell Douglas DC-9-82 (MD-82),China Northern Airlines, B-2141, 49849/1772, 1991, 2 Pratt & Whitney JT8D-217A,Fatalities: 4 / Occupants: 10,Fatalities: 8 / Occupants: 92,Fatalities: 12 / Occupants: 102 , Damaged beyond repair,,"near Urumqi Airport (URC) (   China) 
", Approach (APR),Domestic Scheduled Passenger,"Beijing-Capital International Airport (PEK/ZBAA), China","Urumqi Airport (URC/ZWWW), China",6901,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19931113-0,,,,,,,,,,,,,,
,Tuesday 26 October 1993,13:04,McDonnell Douglas DC-9-82 (MD-82),China Eastern Airlines, B-2103, 49355/1224, 1985, 2 Pratt & Whitney JT8D-217A,Fatalities: 0 / Occupants: 9,Fatalities: 2 / Occupants: 71,Fatalities: 2 / Occupants: 80 , Damaged beyond repair,,"Fuzhou Yixu Airport (FOC) (   China) 
", Landing (LDG),Domestic Scheduled Passenger,"Shenzhen-Huangtian Airport (SZX/ZGSZ), China","Fuzhou Yixu Airport (FOC/ZSFZ), China",MU5398,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19931026-1,,,,,,,,,,,,,,
,Friday 23 July 1993,15:40,British Aerospace BAe-146-300,China Northwest Airlines, B-2716, E3215, 1992-12-05  (8 months), 4 Lycoming LF507-1H,Fatalities: 1 / Occupants: 5,Fatalities: 55 / Occupants: 108,Fatalities: 56 / Occupants: 113 , Damaged beyond repair,,"Yinchuan Airport (INC) (   China) 
", Takeoff (TOF),Domestic Scheduled Passenger,"Yinchuan Airport (JIC/ZLIC), China","Beijing-Capital International Airport (PEK/ZBAA), China",2119,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19930723-0,,,,,,,,,,,,,,
,Tuesday 24 November 1992,07:52,Boeing 737-3Y0,China Southern Airlines, B-2523, 24913/2052, 1991-05-10  (1 year 7 months), 2 CFMI CFM56-3B1,Fatalities: 10 / Occupants: 10,Fatalities: 131 / Occupants: 131,Fatalities: 141 / Occupants: 141 , Destroyed, Written off (damaged beyond repair),"20 km (12.5 mls) S of Guilin Airport (KWL) (   China) 
", Approach (APR),Domestic Non Scheduled Passenger,"Guangzhou-Baiyun Airport (CAN/ZGGG), China","Guilin-Qifengling Airport (KWL/ZGKL), China",CZ3943,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19921124-0,,4165,3153,,,,,,,,,,,
,Thursday 8 October 1992,15:31,Avia 14,Wuhan Airlines, B-4211, 108807113, 1958,,Fatalities: 5 / Occupants: 7,Fatalities: 9 / Occupants: 28,Fatalities: 14 / Occupants: 35 , Damaged beyond repair,,"near Dingxi (   China) 
", En route (ENR),Domestic Non Scheduled Passenger,"Lanzhou Airport (LHW/ZLLL), China","Xian-Xianyang International Airport (XIY/ZLXY), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19921008-0,,,,,,,,,,,,,,
