status,date,time,type,operator,registration,msn,first_flight,engines,crew,passengers,total,aircraft_damage,aircraft_fate,location,phase,nature,departure_airport,destination_airport,flightnumber,asn_home,fsf_home,join_fsf,contact_us,press_/_media,link,on_behalf_of,total_airframe_hrs,cycles,,investigating agency,status,duration,accident_number,download_report,ground_casualties,operating_for,leased_from,crash_site_elevation,collision_casualties
,Friday 28 September 1945,,Douglas C-47B-1-DL (DC-3),United States Army Air Force - USAAF, 43-16350, 20816, 1944, 2 Pratt & Whitney R-1830-90C,Fatalities: 4 / Occupants: 4,Fatalities: 2 / Occupants: 2,Fatalities: 6 / Occupants: 6 , Damaged beyond repair,,"between Liangshan and Peishiyi (   China) 
", En route (ENR),Military,"Xian-Xiguan Airport (SIA/ZLXG), China","Liangping Airport (LIA/ZULP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450928-3,,,,,,,,,,,,,,
,Friday 28 September 1945,,Curtiss C-46D-5-CU Commando,United States Army Air Force - USAAF, 42-101183, 30638, 1944,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 20 / Occupants:  , Damaged beyond repair,,"32 km (20 mls) SE of Chihkiang (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450928-0,,,,,,,,,,,,,,
,Tuesday 11 September 1945,,Douglas C-54G-5-DO (DC-4),United States Army Air Force - USAAF, 45-526, 35979/DO373, ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 4 / Occupants:  , Damaged beyond repair,,"13 km (8.1 mls) SW of Linan (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450911-6,,,,,,,,,,,,,,
,Saturday 21 July 1945,,Curtiss C-46D-15-CU Commando,United States Army Air Force - USAAF, 44-78306, 33702, 1945,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 1 / Occupants: 4 , Damaged beyond repair,,"Tsingching (   China) 
", Takeoff (TOF),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450721-1,,,,,,,,,,,,,,
,Monday 16 July 1945,,Douglas C-47A-90-DL (DC-3),United States Army Air Force - USAAF, 43-15885, 20351, 1944, 2 Pratt & Whitney R-1830-92,Fatalities: 1 / Occupants: 5,Fatalities: 0 / Occupants: 0,Fatalities: 1 / Occupants: 5 , Damaged beyond repair,,"near Mengsa (   China) 
", En route (ENR),Military,"Luliang Airstrip, China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450716-0,,,,,,,,,,,,,,
,Friday 6 July 1945,,Curtiss C-46A-55-CK Commando,United States Army Air Force - USAAF, 43-47126, 197, 1945, 2 Pratt & Whitney R-2800-51,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Damaged beyond repair,,"near Luliang (   China) 
", Initial climb (ICL),Military,"Luliang Airstrip, China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450706-0,,,,,,,,,,,,,,
,Wednesday 4 July 1945,,Douglas C-54B-1-DC (DC-4),United States Army Air Force - USAAF, 42-72370, 10475, 1944,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities:  / Occupants:  , Missing, Presumed damaged beyond repair,"near Kunming (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450704-0,,,,,,,,,,,,,,
,Saturday 30 June 1945,,Curtiss C-46A-50-CU Commando,United States Army Air Force - USAAF, 42-101062, 30517, 1944, 2 Pratt & Whitney R-2800-51,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Missing, Presumed damaged beyond repair,"between Mohanbari and Chanyi (   China) 
", En route (ENR),Military,"Mohanbari Air Base (MOH/VEMN), India","Chanyi Airport, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450630-1,,,,,,,,,,,,,,
,Friday 15 June 1945,,Douglas C-47A-45-DL (DC-3),China National Aviation Corporation - CNAC, 81, 9955, 1943,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Missing, Presumed damaged beyond repair,"at an unknown location (   China) 
", En route (ENR),Cargo,"Yunnanyi Airport, China","Suifu, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450615-0,,,,,,,,,,,,,,
,Monday 9 April 1945,,Douglas C-47A-65-DL (DC-3),China National Aviation Corporation - CNAC, 88, 19061, 1943,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"nr Kiaokie (   China) 
", En route (ENR),Cargo,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Sichang, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450409-2,,,,,,,,,,,,,,
,Saturday 7 April 1945,,Curtiss C-46A-60-CK Commando,United States Army Air Force - USAAF, 43-47211, 282, 1945, 2 Pratt & Whitney R-2800-51,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Missing, Presumed damaged beyond repair,"at an unknown location (   China) 
", En route (ENR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450407-0,,,,,,,,,,,,,,
,Thursday 29 March 1945,,Douglas C-47A-90-DL (DC-3),United States Army Air Force - USAAF, 43-15901, 20367, 1944,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 2 / Occupants:  , Damaged beyond repair,,"Hsian Airfield (   China) 
", Takeoff (TOF),Military,"Hsian Airfield (SIA/ZLXG), China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450329-4,,,,,,,,,,,,,,
,Saturday 17 March 1945,,Douglas C-54B-1-DC (DC-4),United States Army Air Force - USAAF, 42-72418, 10523, 1945,,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Damaged beyond repair,,"near Yunnan (   China) 
", Unknown (UNK),Military,"Dhaka-Kurmitola Air Base, Bangladesh",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450317-0,,,,,,,,,,,,,,
,Tuesday 13 March 1945,,Curtiss C-46A-25-CU Commando,United States Army Air Force - USAAF, 41-24705, 26626, 1943, 2 Pratt & Whitney R-2800-51,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Missing, Presumed damaged beyond repair,"at an unknown location (   China) 
", Unknown (UNK),Military,"Chabua Air Force Station, India","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450313-6,,,,,,,,,,,,,,
,Thursday 1 March 1945,,Douglas Dakota IV (DC-3),Royal Air Force - RAF, KJ921, 26090/14645, 1944, 2 Pratt & Whitney R-1830-90C,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Damaged beyond repair,,"Hailing Island (   China) 
", En route (ENR),Military,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450301-4,,,,,,,,,,,,,,
,Wednesday 7 February 1945,19:15,Douglas C-47B-20-DK (DC-3),United States Army Air Force - USAAF, 43-49657, 26918/15473, 1944, 2 Pratt & Whitney R-1830-90C,Fatalities: 2 / Occupants: 4,Fatalities: 35 / Occupants: 35,Fatalities: 37 / Occupants: 39 , Damaged beyond repair,,"123 km (76.9 mls) W of Hechi (   China) 
", En route (ENR),Military,"Hsian Airfield (SIA/ZLXG), China","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450207-1,,,,,,,,,,,,,,
,Sunday 4 February 1945,,Consolidated C-109 Liberator Express,United States Army Air Force - USAAF, 42-51921, 3472, ,,Fatalities: 5 / Occupants: 5,Fatalities: 0 / Occupants: 0,Fatalities: 5 / Occupants: 5 , Damaged beyond repair,,"near Luliang (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450204-1,,,,,,,,,,,,,,
,Tuesday 16 January 1945,,Douglas C-47A-80-DL (DC-3),China National Aviation Corporation - CNAC, 93, 19621, 1944,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"160 km (100 mls) E of Kunming (   China) 
", En route (ENR),Cargo,"Chongqing-Jiangbei International Airport (CKG/ZUCK), China","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450116-1,,,,,,,,,,,,,,
,Sunday 7 January 1945,,Douglas C-47B-1-DL (DC-3),China National Aviation Corporation - CNAC, 102, 2080., 1944,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"Tali (   China) 
", Unknown (UNK),Unknown,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Dinjan Airport, India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450107-4,,,,,,,,,,,,,,
,Saturday 6 January 1945,,Douglas C-47A-5-DL (DC-3),China National Aviation Corporation - CNAC, 74, 9291, 1943,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Missing, Presumed damaged beyond repair,"Patkai Mountains (   China) 
", Unknown (UNK),Unknown,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19450106-0,,,,,,,,,,,,,,
,Sunday 10 December 1944,,Douglas C-47A-65-DL (DC-3),United States Army Air Force - USAAF, 42-100613, 19076, 1943, 2 Pratt & Whitney R-1830-92,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Missing, Presumed damaged beyond repair,"near Dali (   China) 
", En route (ENR),Military,?,"Dinjan Airport, India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19441210-1,,,,,,,,,,,,,,
,Tuesday 5 December 1944,,Douglas C-47A-90-DL (DC-3),United States Army Air Force - USAAF, 43-15821, 20287, 1944,,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Damaged beyond repair,,"ca 10 km W of Zhinaxiang (   China) 
", Unknown (UNK),Military,"Myitkyina (unknown airport), Myanmar","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19441205-5,,,,,,,,,,,,,,
,Monday 13 November 1944,,Consolidated C-87 Liberator Express,United States Army Air Force - USAAF, 44-39208, 11, ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 4 / Occupants:  , Damaged beyond repair,,"Yefonchang (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19441113-0,,,,,,,,,,,,,,
,Friday 20 October 1944,21:30,Douglas C-47A-80-DL (DC-3),United States Army Air Force - USAAF, 43-15387, 19853, 1944, 2 Pratt & Whitney R-1830-92,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Missing, Presumed damaged beyond repair,"50 km (31.3 mls) N of Luichow (   China) 
", En route (ENR),Military,"Chengkung Airfield, China","Chengdu Airport (CTU/ZUUU), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19441020-5,,,,,,,,,,,,,,
,Saturday 7 October 1944,,Douglas C-47-DL (DC-3),United States Army Air Force - USAAF, 41-18546, 4671, 1942, 2 Pratt & Whitney R-1830-92,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"near Kunming (   China) 
", En route (ENR),Military,"Kunming-Wujiaba Airfield (KMG/ZPPP), China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19441007-0,,,,,,,,,,,,,,
,Tuesday 19 September 1944,,Douglas C-47A-90-DL (DC-3),United States Army Air Force - USAAF, 43-15870, 20336, 1944, 2 Pratt & Whitney R-1830-92,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 4 / Occupants:  , Damaged beyond repair,,"80 km (50 mls) S of Kunming (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440919-3,,,,,,,,,,,,,,
,Tuesday 19 September 1944,,Douglas C-47A-90-DL (DC-3),United States Army Air Force - USAAF, 43-15861, 20327, 1944, 2 Pratt & Whitney R-1830-92,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Missing, Presumed damaged beyond repair,"near Dongchuan, Yunnan (   China) 
", En route (ENR),Military,"Peishiyi Airfield, China","Imphal Municipal Airport (IMF/VEIM), India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440919-2,,,,,,,,,,,,,,
,Thursday 31 August 1944,,Douglas C-47A-90-DL (DC-3),China National Aviation Corporation - CNAC, 97, 20253, 1944,,Fatalities: 2 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 2 / Occupants: 3 , Damaged beyond repair,,"near Shimbuwang (   China) 
", En route (ENR),Cargo,"Kunming-Wujiaba Airfield (KMG/ZPPP), China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440831-1,,,,,,,,,,,,,,
,Wednesday 23 August 1944,,Douglas C-47A-80-DL (DC-3),United States Army Air Force - USAAF, 43-15381, 19847, 1944, 2 Pratt & Whitney R-1830-92,Fatalities: 4 / Occupants: 4,Fatalities: 7 / Occupants: 7,Fatalities: 11 / Occupants: 11 , Damaged beyond repair,,"near Yankai (   China) 
", Unknown (UNK),Military,"Peishiyi Airfield, China","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440823-0,,,,,,,,,,,,,,
,Tuesday 1 August 1944,,Douglas C-47-DL (DC-3),China National Aviation Corporation - CNAC, 73, 9109, 1943,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"Baldy Mountain (   China) 
", En route (ENR),Cargo,"Kunming-Wujiaba Airfield (KMG/ZPPP), China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440801-1,,,,,,,,,,,,,,
,Thursday 29 June 1944,,Curtiss C-46A-40-CU Commando,United States Army Air Force - USAAF, 42-61039, 26914, 1944, 2 Pratt & Whitney R-2800-51,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Damaged beyond repair,,"24 km (15 mls) of Chanyi (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440629-0,,,,,,,,,,,,,,
,Wednesday 21 June 1944,,Curtiss C-46A-25-CU Commando,United States Army Air Force - USAAF, 41-24716, 26637, 1943, 2 Pratt & Whitney R-2800-51,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Missing, Presumed damaged beyond repair,"between Hsinching and Chengkung (   China) 
", Unknown (UNK),Military,"Hsinching Airfield (A-1) (ZUXJ), China","Chengkung Airfield, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440621-0,,,,,,,,,,,,,,
,Sunday 18 June 1944,,Douglas C-47-DL (DC-3),China National Aviation Corporation - CNAC, 71, 9013, 1943,,Fatalities: 0 / Occupants: 3,Fatalities: 1 / Occupants: 1,Fatalities: 1 / Occupants: 4 , Damaged beyond repair,,"near Kweilin (   China) 
", Unknown (UNK),Cargo,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Chongqing-Jiangbei International Airport (CKG/ZUCK), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440618-0,,,,,,,,,,,,,,
,Friday 26 May 1944,,Douglas C-47A-45-DL (DC-3),China National Aviation Corporation - CNAC, 82, 9956, 1943,,Fatalities: 2 / Occupants: 2,Fatalities: 10 / Occupants: 10,Fatalities: 12 / Occupants: 12 , Damaged beyond repair,,"southern Tibet (   China) 
", En route (ENR),Int'l Non Scheduled Passenger,"Calcutta (unknown airport), India","Dinjan Airport, India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440526-0,,,,,,,,,,,,,,
,Monday 8 May 1944,,Douglas C-47-DL (DC-3),United States Army Air Force - USAAF, 41-19468, 6111, 1942, 2 Pratt & Whitney R-1830-92,Fatalities: 5 / Occupants: 5,Fatalities: 2 / Occupants: 2,Fatalities: 7 / Occupants: 7 , Damaged beyond repair,,"near Lanping (   China) 
", En route (ENR),Military,"Kunming-Wujiaba Airfield (KMG/ZPPP), China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440508-2,,,,,,,,,,,,,,
,Monday 27 March 1944,,Curtiss C-46A-20-CU Commando,United States Army Air Force - USAAF, 41-24688, 26609, 1943, 2 Pratt & Whitney R-2800-51,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Damaged beyond repair,,"near Langko (   China) 
", En route (ENR),Military,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Sookerating Air Base, India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440327-3,,,,,,,,,,,,,,
,Saturday 18 March 1944,,Consolidated C-87 Liberator Express,United States Army Air Force - USAAF, 43-30575, 55, ,,Fatalities: 4 / Occupants: 4,Fatalities: 3 / Occupants: 3,Fatalities: 7 / Occupants: 7 , Damaged beyond repair,,"48 km (30 mls) W of Loshan (   China) 
", En route (ENR),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440318-3,,,,,,,,,,,,,,
,Sunday 20 February 1944,,Douglas C-47A-25-DL (DC-3),China National Aviation Corporation - CNAC, 75, 9416, 1943, 2 Pratt & Whitney R-1830-92,Fatalities: 2 / Occupants: 2,Fatalities: 0 / Occupants: 0,Fatalities: 2 / Occupants: 2 , Damaged beyond repair,,"near Paoshan (   China) 
", Takeoff (TOF),Cargo,"Dinjan Airport, India","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440220-0,,,,,,,,,,,,,,
,Monday 31 January 1944,,Consolidated C-87 Liberator Express,United States Army Air Force - USAAF, 41-23862, 648, ,,Fatalities: 5 / Occupants: 5,Fatalities: 0 / Occupants: 0,Fatalities: 5 / Occupants: 5 , Damaged beyond repair,,"near Lhasa (   China) 
", En route (ENR),Military,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Jorhat-Rowriah Airport (JRH/VEJT), India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440131-5,,,,,,,,,,,,,,
,Tuesday 25 January 1944,,Consolidated C-87 Liberator Express,United States Army Air Force - USAAF, 42-107262, 14, ,,Fatalities: 3 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 4 , Damaged beyond repair,,"Himalaya Mountains (   China) 
", En route (ENR),Military,"Jorhat-Rowriah Airport (JRH/VEJT), India","Yangkai Airfield, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19440125-0,,,,,,,,,,,,,,
,Monday 20 December 1943,,Curtiss C-46A-15-CU Commando,United States Army Air Force - USAAF, 41-12397, 26524, 1943, 2 Pratt & Whitney R-2800-51,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Missing, Presumed damaged beyond repair,"within China (   China) 
", Unknown (UNK),Military,"Mohanbari Air Base (MOH/VEMN), India",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19431220-2,,,,,,,,,,,,,,
,Saturday 18 December 1943,,Douglas C-47A-50-DL (DC-3),China National Aviation Corporation - CNAC, 83, 10159, 1943,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"near Suifu (   China) 
", Approach (APR),Cargo,"Dinjan Airport, India","Suifu, China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19431218-0,,,,,,,,,,,,,,
,Friday 26 November 1943,,Consolidated C-87 Liberator Express,United States Army Air Force - USAAF, 41-11800, 296, ,,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 2 / Occupants: 4 , Damaged beyond repair,,"within China (   China) 
", En route (ENR),Military,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Jorhat-Rowriah Airport (JRH/VEJT), India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19431126-4,,,,,,,,,,,,,,
,Friday 19 November 1943,,Douglas C-47 (DC-3),China National Aviation Corporation - CNAC, 63, 6034, 1942,,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Damaged beyond repair,,"near Kunming (   China) 
", Approach (APR),Cargo,?,"Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19431119-2,,,,,,,,,,,,,,
,Friday 19 November 1943,,Douglas C-53 (DC-3),China National Aviation Corporation - CNAC, 59, 7406, 1942,,Fatalities: 2 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 2 / Occupants: 3 , Damaged beyond repair,,"Kunming (   China) 
", Approach (APR),Cargo,?,"Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19431119-1,,,,,,,,,,,,,,
,Friday 29 October 1943,,Curtiss C-46 Commando,United States Army Air Force - USAAF, 41-5172, 26374, 1942,,Fatalities: 1 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 1 / Occupants: 4 , Damaged beyond repair,,"between Dinjan and Kunming (   China) 
", Unknown (UNK),Military,"Dinjan Airport, India","Kunming-Wujiaba Airfield (KMG/ZPPP), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19431029-8,,,,,,,,,,,,,,
,Sunday 3 October 1943,,Curtiss C-46A-15-CU Commando,United States Army Air Force - USAAF, 41-12422, 26549, 1943, 2 Pratt & Whitney R-2800-51,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 6 / Occupants:  , Damaged beyond repair,,"6,5 km (4.1 mls) NE of Kunming (   China) 
", Unknown (UNK),Military,?,?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19431003-0,,,,,,,,,,,,,,
,Wednesday 8 September 1943,,Curtiss C-46A-1-CU Commando,United States Army Air Force - USAAF, 41-5184, 26386, 1942, 2 Pratt & Whitney R-2800-51,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Damaged beyond repair,,"between Kunming and Sookerating (   China) 
", En route (ENR),Military,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Sookerating Air Base, India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19430908-1,,,,,,,,,,,,,,
,Monday 2 August 1943,,Douglas C-47-DL (DC-3),United States Army Air Force - USAAF, 41-38656, 6039, 1942, 2 Pratt & Whitney R-1830-92,Fatalities: 3 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 3 / Occupants: 3 , Missing, Presumed damaged beyond repair,"near Yunnanyi (   China) 
", En route (ENR),Military,"Kunming-Wujiaba Airfield (KMG/ZPPP), China","Mohanbari Air Base (MOH/VEMN), India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19430802-3,,,,,,,,,,,,,,
,Wednesday 23 June 1943,,Curtiss C-46A-5-CU Commando,United States Army Air Force - USAAF, 41-12329, 26456, 1943, 2 Pratt & Whitney R-2800-51,Fatalities:  / Occupants: ,Fatalities:  / Occupants: ,Fatalities: 1 / Occupants:  , Damaged beyond repair,,"Yunnanyi (   China) 
", Takeoff (TOF),Military,"Yunnanyi Airport, China",?,,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19430623-0,,,,,,,,,,,,,,
,Wednesday 9 June 1943,,Douglas DC-3-196A,Hamiata, URSS-N, 2043, 1938,,Fatalities: 4 / Occupants: 4,Fatalities: 28 / Occupants: 28,Fatalities: 32 / Occupants: 32 , Damaged beyond repair,,"20 km (12.5 mls) NE of Yanchi (   China) 
", En route (ENR),International Scheduled Passenger,"Tihwa Airport (URC/ZWWW), China","Hami Airport (HMI/ZWHM), China",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19430609-4,,2289,,,,,,,,,,,,
,Friday 7 May 1943,,Consolidated C-87 Liberator Express,United States Army Air Force - USAAF, 41-23669, 464, ,,Fatalities: 4 / Occupants: 4,Fatalities: 0 / Occupants: 0,Fatalities: 4 / Occupants: 4 , Damaged beyond repair,,"between Yangkai and Chabua (   China) 
", En route (ENR),Military,"Yangkai Airfield, China","Chabua Airfield (VECA), India",,Send Correction / Feedback,Disclaimer,Copyright,Privacy Policy,,https://aviation-safety.net/database/record.php?id=19430507-3,,,,,,,,,,,,,,
